date,high,close,volume,market,close_ratio,spread,profit\loss,slug_dash,slug_ethereum,slug_litecoin,slug_monero,slug_nem,slug_neo,slug_ripple,slug_stellar,symbol_DASH,symbol_ETH,symbol_LTC,symbol_NEO,symbol_XEM,symbol_XLM,symbol_XMR,symbol_XRP,name_Dash,name_Ethereum,name_Litecoin,name_Monero,name_NEM,name_NEO,name_Stellar,name_XRP,ranknow_11,ranknow_14,ranknow_15,ranknow_17,ranknow_2,ranknow_3,ranknow_4,ranknow_7,year_2014,year_2015,year_2016,year_2017,year_2018,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,day_1,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_2,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_3,day_30,day_31,day_4,day_5,day_6,day_7,day_8,day_9,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,month_name_April,month_name_August,month_name_December,month_name_February,month_name_January,month_name_July,month_name_June,month_name_March,month_name_May,month_name_November,month_name_October,month_name_September
2014-04-09,6.142529447406949e-06,6.412574326456439e-06,4.162464295741922e-05,0.0004933614955106392,0.1428571428571413,1.276352742962555e-06,0.4340862687366166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,5.976494553478281e-06,5.136653367927574e-06,6.247853746471667e-05,0.0003963115909854128,0.0576587070471753,6.522314463295711e-06,0.43407696065310486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,5.436500334233206e-06,5.354252291087536e-06,6.490628972107658e-05,0.0004128315532826746,0.4453998280309546,4.417851904958015e-06,0.43408917291220545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,5.070157288454813e-06,5.086374828864099e-06,3.4225394623250186e-05,0.0003924792215389135,0.0541586073500971,1.9639118098566585e-06,0.43408509100642384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,4.739610756505077e-06,4.86383047563232e-06,2.870434627589163e-05,0.00037553274063056245,0.3844696969696972,2.005697167512803e-06,0.4340853586723768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,4.961244491061237e-06,5.301501036988151e-06,8.751169439894616e-05,0.0004088128898263659,0.873134328358209,2.545108148170138e-06,0.43409075214132753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-15,5.811221287503414e-06,6.291411289696915e-06,5.1529346635241006e-05,0.0004841895241517129,1.0,5.105410971851739e-06,0.4340953292291219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-16,5.916325945127983e-06,5.717741401366107e-06,0.00019236225089257994,0.00044048169211329154,0.2034383954154725,3.977206315125193e-06,0.43408237419700196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,5.384709633374723e-06,5.153962373178935e-06,4.900887620225631e-05,0.0003975754538349082,0.1458333333333336,3.646722122751242e-06,0.4340821600642397,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,4.800540992809176e-06,5.047635626634863e-06,3.931494684093179e-05,0.00038949799588710264,0.4501510574018126,1.2573593985732254e-06,0.43408635572805127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-19,4.936110768585796e-06,5.264410311449521e-06,3.894013267348295e-05,0.0004060016554527567,0.7712264150943379,1.610635604214752e-06,0.4340890256959314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
